fin_const,female_ownership,established_year,manager_experience,employees,sector
No obstacle,0,2016,8,5,Manufacturing
Minor obstacle,0,2007,17,5,Manufacturing
Moderate obstacle,100,2013,11,6,Other services
No obstacle,0,2019,3,7,Other services
No obstacle,45,2015,10,6,Other services
Major obstacle,0,1999,25,8,Other services
Minor obstacle,0,2009,13,9,Retail services
Major obstacle,100,2021,7,7,Other services
No obstacle,5,2016,47,12,Other services
No obstacle,30,2011,13,32,Other services
No obstacle,40,2001,5,30,Other services
Moderate obstacle,90,2017,7,17,Other services
No obstacle,0,2000,,5,Other services
Minor obstacle,0,2014,10,15,Other services
Minor obstacle,0,2017,7,5,Other services
No obstacle,0,2010,25,15,Retail services
Moderate obstacle,0,2019,6,9,Other services
Minor obstacle,100,1996,15,10,Other services
Minor obstacle,25,2018,3,9,Other services
No obstacle,0,2018,6,6,Other services
No obstacle,100,2007,19,10,Other services
No obstacle,100,1999,25,9,Other services
No obstacle,100,2007,17,5,Other services
Minor obstacle,2,2015,8,20,Other services
Moderate obstacle,0,2012,12,5,Other services
Minor obstacle,100,2000,24,6,Other services
No obstacle,0,2016,12,35,Other services
No obstacle,0,2014,20,14,Other services
Minor obstacle,0,2007,,44,Retail services
No obstacle,0,2016,5,7,Retail services
No obstacle,0,1947,60,12,Retail services
No obstacle,40,2011,11,5,Retail services
Major obstacle,100,2019,5,5,Retail services
Major obstacle,100,2010,1,8,Other services
No obstacle,0,2016,7,8,Retail services
No obstacle,80,2016,8,9,Retail services
Minor obstacle,100,2017,7,10,Retail services
No obstacle,0,2020,10,9,Retail services
No obstacle,0,2014,,9,Retail services
Minor obstacle,100,2006,18,13,Other services
No obstacle,0,2011,19,11,Retail services
No obstacle,0,2014,,5,Retail services
Minor obstacle,0,2017,,26,Retail services
No obstacle,20,2007,1,5,Retail services
No obstacle,100,2020,6,8,Retail services
Minor obstacle,0,2009,12,7,Retail services
Major obstacle,0,2015,,5,Retail services
Minor obstacle,100,2007,20,10,Retail services
No obstacle,0,2012,15,13,Retail services
No obstacle,0,2019,5,5,Retail services
No obstacle,30,2012,12,10,Retail services
Moderate obstacle,100,1980,35,25,Retail services
No obstacle,100,2001,30,49,Manufacturing
Major obstacle,100,1993,40,60,Manufacturing
Moderate obstacle,100,1997,27,70,Manufacturing
Minor obstacle,0,2010,14,38,Other services
No obstacle,0,2009,20,70,Manufacturing
No obstacle,12,1997,27,28,Manufacturing
No obstacle,20,2013,15,140,Manufacturing
Moderate obstacle,20,1989,34,40,Manufacturing
No obstacle,25,2012,9,30,Manufacturing
No obstacle,0,2013,15,9,Manufacturing
Moderate obstacle,25,2013,,63,Manufacturing
Minor obstacle,10,1988,10,34,Manufacturing
No obstacle,30,1998,10,7,Manufacturing
No obstacle,100,2010,14,60,Manufacturing
No obstacle,3,1989,2,34,Manufacturing
Minor obstacle,100,2018,6,32,Manufacturing
Moderate obstacle,40,1972,15,56,Manufacturing
Minor obstacle,0,2015,10,35,Other services
Minor obstacle,60,2012,12,56,Other services
No obstacle,100,2018,5,44,Other services
No obstacle,30,1985,35,60,Other services
No obstacle,0,2018,6,65,Other services
Minor obstacle,100,2018,14,25,Other services
No obstacle,100,2017,7,50,Other services
Minor obstacle,0,2016,3,54,Other services
No obstacle,100,2014,37,18,Other services
Minor obstacle,0,2018,8,23,Other services
No obstacle,100,1994,30,60,Other services
Minor obstacle,0,2019,5,26,Other services
Minor obstacle,0,2018,10,41,Other services
Minor obstacle,30,1999,30,35,Other services
No obstacle,100,2015,35,32,Other services
No obstacle,0,2014,10,35,Other services
No obstacle,80,1957,48,30,Manufacturing
No obstacle,0,2014,,73,Manufacturing
No obstacle,0,1999,30,40,Other services
Minor obstacle,0,2016,20,20,Retail services
Minor obstacle,2,2017,10,40,Other services
Minor obstacle,0,2009,15,15,Manufacturing
Moderate obstacle,40,2004,15,18,Other services
Moderate obstacle,0,2013,14,51,Other services
No obstacle,0,2010,14,20,Other services
Moderate obstacle,100,2015,20,75,Other services
Minor obstacle,0,2009,10,50,Other services
No obstacle,100,1996,,30,Other services
No obstacle,0,1990,10,250,Other services
No obstacle,0,2014,24,22,Other services
Moderate obstacle,0,2006,18,24,Other services
No obstacle,50,2019,10,19,Retail services
Minor obstacle,10,2019,10,65,Retail services
No obstacle,0,2008,16,50,Other services
No obstacle,10,1970,20,250,Manufacturing
No obstacle,0,1993,31,60,Manufacturing
Minor obstacle,0,1962,15,140,Manufacturing
No obstacle,0,2013,20,185,Manufacturing
Minor obstacle,40,1989,10,132,Manufacturing
Minor obstacle,50,2017,7,30,Manufacturing
No obstacle,0,1999,25,95,Manufacturing
No obstacle,20,2000,40,232,Manufacturing
No obstacle,0,2000,,163,Manufacturing
No obstacle,50,1972,25,150,Manufacturing
Minor obstacle,50,1995,40,78,Manufacturing
No obstacle,0,1988,15,180,Other services
No obstacle,0,2011,13,155,Other services
Minor obstacle,0,1997,25,130,Manufacturing
Moderate obstacle,20,2018,20,171,Manufacturing
No obstacle,30,1964,20,97,Other services
No obstacle,60,2005,20,100,Other services
Moderate obstacle,0,2001,21,50,Other services
No obstacle,20,2002,22,7,Manufacturing
No obstacle,10,2006,10,18,Manufacturing
No obstacle,0,2005,19,5,Manufacturing
Minor obstacle,0,2019,4,10,Other services
Minor obstacle,0,2006,18,16,Manufacturing
No obstacle,0,1980,5,5,Other services
Minor obstacle,0,2000,23,17,Manufacturing
No obstacle,100,2010,14,20,Manufacturing
Major obstacle,0,2004,35,6,Manufacturing
No obstacle,0,2017,21,12,Manufacturing
NA,25,2020,10,120,Manufacturing
Minor obstacle,100,2018,6,5,Manufacturing
Minor obstacle,100,2005,25,18,Manufacturing
Minor obstacle,100,2018,14,6,Manufacturing
Minor obstacle,100,1997,32,14,Manufacturing
Major obstacle,0,2008,14,12,Manufacturing
Minor obstacle,0,1995,15,14,Manufacturing
Minor obstacle,60,1987,37,11,Manufacturing
No obstacle,100,2018,9,8,Manufacturing
No obstacle,0,2010,10,3,Manufacturing
Minor obstacle,50,2016,7,12,Manufacturing
No obstacle,0,2008,6,7,Other services
Major obstacle,50,2019,7,5,Other services
No obstacle,0,2010,16,8,Other services
No obstacle,0,2011,3,7,Other services
No obstacle,0,2018,9,11,Other services
No obstacle,0,2017,9,5,Other services
No obstacle,50,2018,25,30,Other services
Minor obstacle,0,2019,10,5,Other services
No obstacle,0,2012,1,10,Other services
No obstacle,0,2008,30,50,Other services
Minor obstacle,0,2018,7,20,Other services
No obstacle,60,2019,10,8,Other services
Minor obstacle,0,2018,5,19,Manufacturing
No obstacle,0,2017,6,6,Manufacturing
Minor obstacle,0,2010,14,6,Other services
No obstacle,0,2018,3,22,Other services
Minor obstacle,100,1987,20,8,Other services
Moderate obstacle,40,2016,34,14,Other services
Moderate obstacle,100,2008,18,5,Other services
No obstacle,0,2005,10,18,Retail services
No obstacle,10,2016,5,25,Other services
No obstacle,100,2019,5,8,Other services
Major obstacle,0,1983,2,16,Other services
No obstacle,100,2010,24,16,Other services
No obstacle,0,2015,15,50,Retail services
Minor obstacle,50,2017,10,13,Other services
Moderate obstacle,60,1989,33,10,Retail services
Moderate obstacle,0,2018,10,15,Other services
Moderate obstacle,100,2014,1,17,Other services
No obstacle,0,2019,20,8,Retail services
Moderate obstacle,0,1997,30,7,Other services
Minor obstacle,50,2000,50,19,Retail services
Minor obstacle,0,2002,4,7,Other services
Minor obstacle,20,1990,8,16,Other services
Moderate obstacle,0,1999,33,6,Other services
Minor obstacle,25,2003,21,18,Other services
No obstacle,13,2004,15,17,Other services
Major obstacle,0,2017,15,10,Other services
No obstacle,10,2021,3,11,Other services
No obstacle,0,1982,42,5,Other services
Major obstacle,0,2020,4,5,Other services
Major obstacle,0,2017,1,6,Other services
No obstacle,0,2007,15,13,Retail services
Minor obstacle,100,2014,10,5,Retail services
No obstacle,100,2014,10,7,Retail services
No obstacle,0,2015,15,8,Retail services
Major obstacle,100,2016,8,6,Other services
No obstacle,100,2016,4,6,Retail services
No obstacle,30,2019,25,26,Retail services
No obstacle,100,2000,24,5,Other services
No obstacle,0,2013,25,12,Retail services
Minor obstacle,10,1934,14,9,Other services
No obstacle,100,2007,15,10,Other services
Moderate obstacle,20,1977,47,6,Retail services
Minor obstacle,100,2020,5,5,Retail services
No obstacle,0,2000,20,5,Retail services
Minor obstacle,0,2021,3,9,Other services
No obstacle,100,2019,1,6,Other services
No obstacle,0,1974,50,12,Retail services
Minor obstacle,100,2019,6,5,Retail services
Minor obstacle,0,1970,44,5,Retail services
No obstacle,25,2002,9,10,Retail services
No obstacle,100,1999,25,8,Retail services
No obstacle,100,1986,38,8,Retail services
Minor obstacle,100,2019,5,5,Retail services
No obstacle,0,2000,20,16,Manufacturing
No obstacle,100,2015,9,7,Retail services
No obstacle,0,2005,7,27,Manufacturing
Minor obstacle,0,1998,14,98,Manufacturing
No obstacle,0,2014,8,120,Manufacturing
Major obstacle,1,2009,50,97,Other services
Minor obstacle,0,2005,19,22,Manufacturing
Minor obstacle,0,1997,26,50,Manufacturing
Minor obstacle,0,2013,11,46,Manufacturing
No obstacle,30,2017,7,56,Manufacturing
No obstacle,0,2014,10,60,Manufacturing
No obstacle,0,1990,8,65,Manufacturing
Minor obstacle,0,2008,16,45,Manufacturing
Moderate obstacle,0,1997,30,18,Manufacturing
No obstacle,0,1993,30,23,Manufacturing
No obstacle,40,1967,20,53,Manufacturing
Minor obstacle,50,1984,40,11,Manufacturing
No obstacle,30,2015,20,22,Manufacturing
Minor obstacle,100,1994,30,38,Manufacturing
Minor obstacle,0,1986,40,22,Manufacturing
No obstacle,0,1973,58,31,Manufacturing
Major obstacle,50,2016,9,30,Other services
Minor obstacle,10,2005,20,200,Other services
NA,60,1986,38,75,Other services
Moderate obstacle,1,2005,4,85,Other services
Moderate obstacle,40,2016,4,43,Other services
Major obstacle,20,2018,2,32,Other services
No obstacle,2,2009,5,35,Other services
Major obstacle,0,2014,15,88,Other services
No obstacle,50,1998,10,80,Other services
Major obstacle,2,2015,8,98,Other services
No obstacle,100,1973,5,38,Other services
Moderate obstacle,100,2018,5,35,Other services
No obstacle,40,2016,7,27,Other services
No obstacle,0,2016,7,25,Other services
No obstacle,20,2007,17,140,Other services
Minor obstacle,50,2015,9,72,Other services
No obstacle,100,2006,18,24,Other services
Moderate obstacle,12,2001,20,46,Manufacturing
No obstacle,100,2008,14,31,Manufacturing
No obstacle,100,2011,13,21,Other services
Minor obstacle,0,2020,8,23,Other services
Minor obstacle,0,2000,30,25,Other services
No obstacle,0,2014,10,10,Other services
No obstacle,0,2002,22,40,Other services
Major obstacle,0,1996,34,15,Other services
No obstacle,0,1999,24,18,Other services
Major obstacle,0,2016,30,8,Other services
No obstacle,100,2020,13,28,Other services
Major obstacle,0,1969,40,38,Other services
No obstacle,0,1998,25,25,Other services
Minor obstacle,50,1996,28,33,Other services
No obstacle,10,2020,10,32,Other services
No obstacle,40,2012,5,24,Other services
Major obstacle,0,1984,45,17,Other services
No obstacle,0,1980,45,35,Other services
Minor obstacle,50,2005,1,180,Other services
Major obstacle,100,2009,14,8,Retail services
No obstacle,40,2001,23,25,Other services
Minor obstacle,1,1995,28,29,Retail services
Minor obstacle,30,1976,35,150,Other services
No obstacle,100,2008,15,90,Manufacturing
No obstacle,15,1994,25,50,Manufacturing
Minor obstacle,50,1978,46,200,Manufacturing
Minor obstacle,60,1999,19,77,Manufacturing
Minor obstacle,50,2009,15,120,Other services
Minor obstacle,0,1994,20,170,Manufacturing
Minor obstacle,0,1989,30,106,Manufacturing
Major obstacle,0,1990,30,55,Other services
No obstacle,40,1989,34,188,Retail services
Moderate obstacle,70,1981,43,180,Other services
Minor obstacle,20,2016,10,170,Other services
Moderate obstacle,40,2004,20,78,Retail services
No obstacle,40,2015,15,120,Retail services
No obstacle,50,2016,20,55,Retail services
Major obstacle,100,2013,10,6,Manufacturing
No obstacle,0,1996,28,9,Manufacturing
Minor obstacle,100,2015,9,8,Manufacturing
No obstacle,0,2009,30,11,Manufacturing
No obstacle,100,1969,32,5,Manufacturing
No obstacle,0,2012,6,7,Manufacturing
No obstacle,100,2007,15,6,Manufacturing
Moderate obstacle,0,2014,14,70,Manufacturing
No obstacle,0,2012,10,8,Manufacturing
No obstacle,0,2008,30,12,Manufacturing
Moderate obstacle,0,2006,18,15,Manufacturing
No obstacle,0,2015,11,8,Manufacturing
No obstacle,100,2010,24,12,Manufacturing
No obstacle,0,2022,2,9,Manufacturing
No obstacle,0,2011,13,6,Manufacturing
Major obstacle,0,2010,14,8,Manufacturing
Minor obstacle,0,2016,20,13,Manufacturing
Moderate obstacle,25,2020,7,20,Manufacturing
Major obstacle,100,2014,10,6,Manufacturing
No obstacle,100,2021,10,5,Manufacturing
No obstacle,100,2015,9,7,Manufacturing
No obstacle,0,1992,32,7,Retail services
No obstacle,0,1980,6,14,Manufacturing
Minor obstacle,0,2017,7,5,Manufacturing
No obstacle,4,1983,3,5,Manufacturing
No obstacle,0,2015,8,17,Manufacturing
Major obstacle,60,2017,7,6,Manufacturing
Minor obstacle,25,2016,7,7,Manufacturing
No obstacle,100,1998,20,80,Manufacturing
Minor obstacle,100,2020,4,7,Manufacturing
No obstacle,100,2016,8,5,Other services
Minor obstacle,0,2010,24,5,Other services
No obstacle,0,2018,5,5,Manufacturing
Major obstacle,0,2005,9,12,Manufacturing
No obstacle,100,2017,7,5,Manufacturing
Minor obstacle,0,2011,13,5,Other services
No obstacle,0,2005,19,5,Other services
No obstacle,0,2010,14,5,Other services
No obstacle,0,2016,30,6,Retail services
Moderate obstacle,0,2014,11,27,Other services
No obstacle,100,2013,9,5,Other services
No obstacle,100,1990,34,9,Manufacturing
No obstacle,0,2019,20,5,Other services
Minor obstacle,100,2016,40,11,Other services
No obstacle,30,2021,31,21,Other services
Minor obstacle,100,2014,6,11,Other services
No obstacle,0,2014,15,18,Other services
No obstacle,50,2017,7,20,Other services
No obstacle,100,2013,11,17,Other services
No obstacle,100,2012,12,9,Retail services
Moderate obstacle,50,2016,35,10,Retail services
No obstacle,0,2000,23,9,Retail services
Minor obstacle,100,2004,2,7,Other services
Minor obstacle,100,2015,7,5,Other services
Minor obstacle,100,2018,6,7,Other services
Minor obstacle,0,1990,34,30,Other services
No obstacle,0,1960,26,5,Other services
No obstacle,100,2016,5,5,Manufacturing
Moderate obstacle,0,2004,20,10,Other services
Moderate obstacle,0,2017,7,30,Other services
No obstacle,10,1993,35,13,Retail services
No obstacle,0,2004,29,10,Other services
Minor obstacle,0,2011,13,5,Other services
No obstacle,2,2013,11,10,Retail services
No obstacle,0,2006,10,10,Retail services
No obstacle,0,2004,5,10,Other services
No obstacle,100,2019,5,5,Other services
Moderate obstacle,0,2017,11,10,Retail services
No obstacle,0,1999,10,12,Manufacturing
No obstacle,10,2003,21,6,Retail services
Minor obstacle,0,1989,35,12,Other services
No obstacle,50,2019,5,5,Other services
Minor obstacle,0,2015,6,5,Other services
No obstacle,43,1978,30,5,Other services
No obstacle,0,2006,18,6,Other services
No obstacle,0,2016,8,5,Other services
No obstacle,100,2018,6,9,Other services
Minor obstacle,0,2017,7,6,Other services
No obstacle,0,2004,20,11,Other services
No obstacle,0,2013,15,5,Other services
Moderate obstacle,30,2013,10,18,Other services
No obstacle,100,1990,9,6,Retail services
No obstacle,100,2018,10,5,Retail services
Minor obstacle,0,2016,10,6,Other services
No obstacle,0,2000,8,7,Retail services
No obstacle,100,1984,6,17,Retail services
Moderate obstacle,0,2018,8,5,Retail services
No obstacle,0,2019,4,5,Retail services
No obstacle,100,2015,9,5,Retail services
No obstacle,0,2019,10,15,Retail services
No obstacle,100,1968,56,5,Retail services
No obstacle,2,2006,17,8,Manufacturing
Minor obstacle,0,2013,15,5,Retail services
No obstacle,100,2008,20,8,Retail services
No obstacle,100,2004,20,5,Other services
No obstacle,30,2010,20,12,Retail services
Moderate obstacle,100,1997,27,5,Retail services
No obstacle,30,2014,10,11,Other services
No obstacle,20,1984,19,23,Retail services
No obstacle,100,1994,30,5,Manufacturing
No obstacle,0,1994,14,17,Retail services
No obstacle,50,1998,26,6,Retail services
Major obstacle,100,1998,1,5,Retail services
No obstacle,0,1995,29,10,Other services
No obstacle,0,2000,24,5,Retail services
No obstacle,0,2013,13,7,Retail services
Major obstacle,100,2020,5,6,Retail services
No obstacle,100,2015,9,6,Retail services
Minor obstacle,0,2017,15,5,Retail services
No obstacle,0,,,14,Retail services
Moderate obstacle,0,2010,10,10,Retail services
No obstacle,0,1996,10,45,Retail services
No obstacle,0,2021,3,5,Retail services
Moderate obstacle,0,2009,40,10,Retail services
No obstacle,0,2019,12,12,Retail services
Moderate obstacle,0,2010,14,20,Retail services
No obstacle,0,2015,9,22,Manufacturing
Moderate obstacle,10,2004,20,25,Manufacturing
Major obstacle,0,2005,40,40,Manufacturing
Minor obstacle,0,2001,23,30,Other services
No obstacle,0,1990,5,20,Manufacturing
No obstacle,0,2002,22,100,Manufacturing
No obstacle,0,1993,28,12,Other services
No obstacle,0,2015,8,29,Manufacturing
No obstacle,50,2006,20,20,Manufacturing
No obstacle,0,1990,8,85,Other services
Minor obstacle,50,2009,30,20,Manufacturing
Minor obstacle,0,2000,30,33,Manufacturing
Minor obstacle,0,1996,68,130,Manufacturing
Minor obstacle,0,1976,40,23,Manufacturing
Minor obstacle,50,1997,25,85,Manufacturing
No obstacle,0,2010,14,20,Manufacturing
Minor obstacle,40,1990,40,28,Manufacturing
No obstacle,0,2010,15,11,Manufacturing
Minor obstacle,100,2008,1,23,Manufacturing
Major obstacle,100,2020,30,37,Manufacturing
Minor obstacle,0,2021,18,180,Manufacturing
No obstacle,100,1983,5,50,Manufacturing
Minor obstacle,0,2012,12,100,Manufacturing
No obstacle,0,2013,11,23,Other services
Moderate obstacle,30,1980,15,15,Manufacturing
Minor obstacle,30,1995,30,33,Manufacturing
No obstacle,0,2010,14,50,Manufacturing
No obstacle,10,2010,25,250,Manufacturing
Minor obstacle,0,2005,19,60,Other services
Moderate obstacle,20,2012,30,45,Other services
No obstacle,100,2015,9,18,Other services
Moderate obstacle,70,1988,20,50,Other services
Major obstacle,30,1982,42,56,Other services
Minor obstacle,0,2011,2,32,Other services
No obstacle,100,1997,26,40,Other services
Minor obstacle,100,2016,8,6,Other services
Minor obstacle,10,1995,29,150,Other services
No obstacle,40,2009,35,45,Other services
No obstacle,0,2014,9,35,Manufacturing
Moderate obstacle,0,2010,40,47,Other services
No obstacle,0,2019,5,28,Other services
Minor obstacle,0,2010,14,90,Other services
Minor obstacle,50,1977,15,35,Other services
No obstacle,0,2012,25,15,Other services
Moderate obstacle,0,2010,23,33,Other services
No obstacle,50,2014,3,55,Other services
Minor obstacle,30,1988,50,17,Other services
Minor obstacle,70,2021,10,7,Retail services
Minor obstacle,10,1977,40,138,Retail services
No obstacle,0,2004,20,95,Manufacturing
Minor obstacle,0,2014,20,70,Retail services
No obstacle,0,2019,20,134,Manufacturing
Minor obstacle,0,2016,8,100,Manufacturing
No obstacle,0,2020,4,171,Manufacturing
No obstacle,0,1991,8,250,Manufacturing
Minor obstacle,0,1960,17,170,Manufacturing
No obstacle,0,2004,43,225,Manufacturing
No obstacle,0,1991,15,160,Manufacturing
Minor obstacle,0,2009,10,119,Manufacturing
No obstacle,0,2019,5,115,Other services
No obstacle,0,1919,50,150,Other services
No obstacle,0,2008,25,200,Retail services
No obstacle,0,2021,3,200,Retail services
